Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF/6V3","C_0805_2012Metric",80.2640,15.4940,180.0000,bottom
"C2","10uF","C_0805_2012Metric",80.2640,18.0340,180.0000,bottom
"C3","100nF","C_0805_2012Metric",74.6760,24.8920,-90.0000,bottom
"C4","10p","C_0805_2012Metric",76.3035,27.9400,180.0000,bottom
"C5","10uF","C_0805_2012Metric",80.2640,27.4320,180.0000,bottom
"C6","47uF/6V3","C_0805_2012Metric",80.2640,29.7180,180.0000,bottom
"C7","47uF/6V3","C_0805_2012Metric",80.2640,32.0040,180.0000,bottom
"F1","100mA","Fuse_0805_2012Metric",75.9460,5.0800,-90.0000,bottom
"F2","100mA","Fuse_0805_2012Metric",83.5660,5.0800,-90.0000,bottom
"F3","100mA","Fuse_0805_2012Metric",16.2560,5.0800,-90.0000,bottom
"F4","100mA","Fuse_0805_2012Metric",35.0520,5.0800,-90.0000,bottom
"F5","100mA","Fuse_0805_2012Metric",54.3560,5.0800,-90.0000,bottom
"J1","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",96.7740,58.8010,-90.0000,bottom
"J2","SM03B-GHS-TB","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal",96.7740,50.2400,90.0000,bottom
"R1","560k","R_0805_2012Metric",76.3035,33.0200,0.0000,bottom
"R2","100k","R_0805_2012Metric",76.3035,30.4800,0.0000,bottom
"X1","TPS63060","Texas_S-PWSON-N10_ThermalVias",78.9780,22.6550,90.0000,bottom
